pretty_position,image_number,pretty_score,url
0,85,0.9884105,https://storage.googleapis.com/pretty_cats/image_85.jpg
1,126,0.9865328,https://storage.googleapis.com/pretty_cats/image_126.jpg
2,191,0.9846694,https://storage.googleapis.com/pretty_cats/image_191.jpg
3,142,0.98448414,https://storage.googleapis.com/pretty_cats/image_142.jpg
4,225,0.9844701,https://storage.googleapis.com/pretty_cats/image_225.jpg
5,159,0.9842799,https://storage.googleapis.com/pretty_cats/image_159.jpg
6,6,0.98408705,https://storage.googleapis.com/pretty_cats/image_6.jpg
7,82,0.98337144,https://storage.googleapis.com/pretty_cats/image_82.jpg
8,74,0.9830678,https://storage.googleapis.com/pretty_cats/image_74.jpg
9,19,0.98281133,https://storage.googleapis.com/pretty_cats/image_19.jpg
10,80,0.98266315,https://storage.googleapis.com/pretty_cats/image_80.jpg
11,212,0.9821165,https://storage.googleapis.com/pretty_cats/image_212.jpg
12,132,0.98210216,https://storage.googleapis.com/pretty_cats/image_132.jpg
13,35,0.98171806,https://storage.googleapis.com/pretty_cats/image_35.jpg
14,187,0.98163134,https://storage.googleapis.com/pretty_cats/image_187.jpg
15,173,0.9815652,https://storage.googleapis.com/pretty_cats/image_173.jpg
16,143,0.98099154,https://storage.googleapis.com/pretty_cats/image_143.jpg
17,83,0.98085356,https://storage.googleapis.com/pretty_cats/image_83.jpg
18,181,0.9807889,https://storage.googleapis.com/pretty_cats/image_181.jpg
19,243,0.980775,https://storage.googleapis.com/pretty_cats/image_243.jpg
20,86,0.9807653,https://storage.googleapis.com/pretty_cats/image_86.jpg
21,203,0.98038095,https://storage.googleapis.com/pretty_cats/image_203.jpg
22,105,0.9802351,https://storage.googleapis.com/pretty_cats/image_105.jpg
23,220,0.98000586,https://storage.googleapis.com/pretty_cats/image_220.jpg
24,231,0.97989804,https://storage.googleapis.com/pretty_cats/image_231.jpg
25,194,0.97960436,https://storage.googleapis.com/pretty_cats/image_194.jpg
26,29,0.9795816,https://storage.googleapis.com/pretty_cats/image_29.jpg
27,143,0.9789742,https://storage.googleapis.com/pretty_cats/image_143.jpg
28,180,0.978967,https://storage.googleapis.com/pretty_cats/image_180.jpg
29,170,0.97889256,https://storage.googleapis.com/pretty_cats/image_170.jpg
30,184,0.97875834,https://storage.googleapis.com/pretty_cats/image_184.jpg
31,65,0.9787573,https://storage.googleapis.com/pretty_cats/image_65.jpg
32,199,0.9786023,https://storage.googleapis.com/pretty_cats/image_199.jpg
33,225,0.97856665,https://storage.googleapis.com/pretty_cats/image_225.jpg
34,116,0.97848904,https://storage.googleapis.com/pretty_cats/image_116.jpg
35,105,0.9783342,https://storage.googleapis.com/pretty_cats/image_105.jpg
36,249,0.9781701,https://storage.googleapis.com/pretty_cats/image_249.jpg
37,113,0.97811437,https://storage.googleapis.com/pretty_cats/image_113.jpg
38,170,0.97807443,https://storage.googleapis.com/pretty_cats/image_170.jpg
39,101,0.97799575,https://storage.googleapis.com/pretty_cats/image_101.jpg
40,30,0.9779519,https://storage.googleapis.com/pretty_cats/image_30.jpg
41,15,0.9775738,https://storage.googleapis.com/pretty_cats/image_15.jpg
42,165,0.97740626,https://storage.googleapis.com/pretty_cats/image_165.jpg
43,133,0.9772231,https://storage.googleapis.com/pretty_cats/image_133.jpg
44,177,0.9769931,https://storage.googleapis.com/pretty_cats/image_177.jpg
45,39,0.9769232,https://storage.googleapis.com/pretty_cats/image_39.jpg
46,159,0.97680503,https://storage.googleapis.com/pretty_cats/image_159.jpg
47,56,0.9766806,https://storage.googleapis.com/pretty_cats/image_56.jpg
48,136,0.97657543,https://storage.googleapis.com/pretty_cats/image_136.jpg
49,165,0.97656405,https://storage.googleapis.com/pretty_cats/image_165.jpg
50,24,0.9765593,https://storage.googleapis.com/pretty_cats/image_24.jpg
51,18,0.97604054,https://storage.googleapis.com/pretty_cats/image_18.jpg
52,115,0.97587454,https://storage.googleapis.com/pretty_cats/image_115.jpg
53,174,0.97583437,https://storage.googleapis.com/pretty_cats/image_174.jpg
54,110,0.9758051,https://storage.googleapis.com/pretty_cats/image_110.jpg
55,197,0.97578555,https://storage.googleapis.com/pretty_cats/image_197.jpg
56,158,0.97573894,https://storage.googleapis.com/pretty_cats/image_158.jpg
57,108,0.97549033,https://storage.googleapis.com/pretty_cats/image_108.jpg
58,23,0.9753786,https://storage.googleapis.com/pretty_cats/image_23.jpg
59,167,0.9753636,https://storage.googleapis.com/pretty_cats/image_167.jpg
60,205,0.97527415,https://storage.googleapis.com/pretty_cats/image_205.jpg
61,154,0.97517323,https://storage.googleapis.com/pretty_cats/image_154.jpg
62,52,0.9750498,https://storage.googleapis.com/pretty_cats/image_52.jpg
63,129,0.97504145,https://storage.googleapis.com/pretty_cats/image_129.jpg
64,138,0.97449815,https://storage.googleapis.com/pretty_cats/image_138.jpg
65,115,0.974428,https://storage.googleapis.com/pretty_cats/image_115.jpg
66,10,0.9742099,https://storage.googleapis.com/pretty_cats/image_10.jpg
67,22,0.9740719,https://storage.googleapis.com/pretty_cats/image_22.jpg
68,248,0.9740694,https://storage.googleapis.com/pretty_cats/image_248.jpg
69,37,0.97403044,https://storage.googleapis.com/pretty_cats/image_37.jpg
70,103,0.9740296,https://storage.googleapis.com/pretty_cats/image_103.jpg
71,173,0.97396404,https://storage.googleapis.com/pretty_cats/image_173.jpg
72,143,0.9739533,https://storage.googleapis.com/pretty_cats/image_143.jpg
73,53,0.97382504,https://storage.googleapis.com/pretty_cats/image_53.jpg
74,134,0.97379464,https://storage.googleapis.com/pretty_cats/image_134.jpg
75,175,0.97371167,https://storage.googleapis.com/pretty_cats/image_175.jpg
76,106,0.9736448,https://storage.googleapis.com/pretty_cats/image_106.jpg
77,23,0.97364455,https://storage.googleapis.com/pretty_cats/image_23.jpg
78,102,0.9735435,https://storage.googleapis.com/pretty_cats/image_102.jpg
79,68,0.97346514,https://storage.googleapis.com/pretty_cats/image_68.jpg
80,116,0.97345257,https://storage.googleapis.com/pretty_cats/image_116.jpg
81,210,0.9732931,https://storage.googleapis.com/pretty_cats/image_210.jpg
82,41,0.9732564,https://storage.googleapis.com/pretty_cats/image_41.jpg
83,22,0.97323215,https://storage.googleapis.com/pretty_cats/image_22.jpg
84,122,0.97321033,https://storage.googleapis.com/pretty_cats/image_122.jpg
85,25,0.9731102,https://storage.googleapis.com/pretty_cats/image_25.jpg
86,146,0.97309756,https://storage.googleapis.com/pretty_cats/image_146.jpg
87,29,0.97300726,https://storage.googleapis.com/pretty_cats/image_29.jpg
88,230,0.97282636,https://storage.googleapis.com/pretty_cats/image_230.jpg
89,245,0.9727322,https://storage.googleapis.com/pretty_cats/image_245.jpg
90,65,0.97273165,https://storage.googleapis.com/pretty_cats/image_65.jpg
91,66,0.97256756,https://storage.googleapis.com/pretty_cats/image_66.jpg
92,72,0.9724367,https://storage.googleapis.com/pretty_cats/image_72.jpg
93,130,0.9722182,https://storage.googleapis.com/pretty_cats/image_130.jpg
94,137,0.9721782,https://storage.googleapis.com/pretty_cats/image_137.jpg
95,45,0.9721397,https://storage.googleapis.com/pretty_cats/image_45.jpg
96,130,0.97212154,https://storage.googleapis.com/pretty_cats/image_130.jpg
97,109,0.97207123,https://storage.googleapis.com/pretty_cats/image_109.jpg
98,112,0.9720044,https://storage.googleapis.com/pretty_cats/image_112.jpg
99,126,0.97177684,https://storage.googleapis.com/pretty_cats/image_126.jpg
100,93,0.97143036,https://storage.googleapis.com/pretty_cats/image_93.jpg
101,117,0.97142845,https://storage.googleapis.com/pretty_cats/image_117.jpg
102,118,0.97142655,https://storage.googleapis.com/pretty_cats/image_118.jpg
103,47,0.97137105,https://storage.googleapis.com/pretty_cats/image_47.jpg
104,163,0.9713075,https://storage.googleapis.com/pretty_cats/image_163.jpg
105,139,0.97130495,https://storage.googleapis.com/pretty_cats/image_139.jpg
106,172,0.9712921,https://storage.googleapis.com/pretty_cats/image_172.jpg
107,213,0.97120655,https://storage.googleapis.com/pretty_cats/image_213.jpg
108,116,0.9711577,https://storage.googleapis.com/pretty_cats/image_116.jpg
109,52,0.97099936,https://storage.googleapis.com/pretty_cats/image_52.jpg
110,29,0.97087955,https://storage.googleapis.com/pretty_cats/image_29.jpg
111,118,0.9705236,https://storage.googleapis.com/pretty_cats/image_118.jpg
112,243,0.9704882,https://storage.googleapis.com/pretty_cats/image_243.jpg
113,243,0.970404,https://storage.googleapis.com/pretty_cats/image_243.jpg
114,144,0.97040087,https://storage.googleapis.com/pretty_cats/image_144.jpg
115,249,0.9703616,https://storage.googleapis.com/pretty_cats/image_249.jpg
116,170,0.97034025,https://storage.googleapis.com/pretty_cats/image_170.jpg
117,84,0.9702839,https://storage.googleapis.com/pretty_cats/image_84.jpg
118,46,0.9701283,https://storage.googleapis.com/pretty_cats/image_46.jpg
119,41,0.97012377,https://storage.googleapis.com/pretty_cats/image_41.jpg
120,216,0.9700116,https://storage.googleapis.com/pretty_cats/image_216.jpg
121,152,0.96993524,https://storage.googleapis.com/pretty_cats/image_152.jpg
