image_index,beautiful_cat_score,cute_cat_score,lovely_cat_score,charming_cat_score,adorable_cat_score,elegant_cat_score,graceful_cat_score,pretty_cat_score,handsome_cat_score,gorgeous_cat_score,photogenic_cat_score,delightful_cat_score,attractive_cat_score,sweet_cat_score,stunning_cat_score,majestic_cat_score,fluffy_cat_score,playful_cat_score,happy_cat_score,appealing_cat_score,total_score,image_url
0,0.5892862,0.5763063,0.13254066,0.30714893,0.038488276,0.8140606,0.29721612,0.079812825,0.030167954,0.06525506,0.021560425,0.29892927,0.06619281,0.20887935,0.41120693,0.06290885,0.54284954,0.44883677,0.20342027,0.50457317,5.6996408,https://storage.googleapis.com/pretty_cats/image_0.jpg
1,0.8374022,0.65755177,0.5642846,0.61944836,0.3597603,0.4223269,0.4499142,0.5438136,0.5471295,0.35893962,0.35535356,0.42596105,0.27167267,0.5668294,0.7919575,0.4277557,0.30853194,0.89807934,0.81160396,0.7072093,10.925525,https://storage.googleapis.com/pretty_cats/image_1.jpg
2,0.8911995,0.6852859,0.51351076,0.6085264,0.66951823,0.18626067,0.76953924,0.43401146,0.2605184,0.6749826,0.1430422,0.7365024,0.29652613,0.54953766,0.54779625,0.12557761,0.89971006,0.2677087,0.6140139,0.6096681,10.483436,https://storage.googleapis.com/pretty_cats/image_2.jpg
3,0.27491257,0.21715914,0.65082103,0.27857983,0.8634888,0.1619408,0.50373596,0.7986169,0.7780504,0.46008986,0.5623995,0.36673018,0.69482833,0.20002976,0.8199939,0.35600397,0.92708194,0.008458446,0.045809276,0.37748823,9.346219,https://storage.googleapis.com/pretty_cats/image_3.jpg
4,0.94987905,0.8140695,0.6636481,0.89923364,0.889771,0.67190003,0.6514051,0.7434707,0.83402014,0.85758066,0.76216346,0.7986607,0.33482856,0.91551125,0.98440427,0.22159241,0.81915504,0.71615154,0.8826896,0.5402119,14.950345,https://storage.googleapis.com/pretty_cats/image_4.jpg
5,0.7152166,0.55817693,0.85183537,0.70951074,0.9013818,0.270676,0.5905574,0.7294268,0.36081055,0.54651976,0.8465594,0.9673734,0.9263017,0.8081938,0.9334019,0.299968,0.49288508,0.9970318,0.9927719,0.9129482,14.411549,https://storage.googleapis.com/pretty_cats/image_5.jpg
6,0.9119791,0.9707379,0.93057925,0.9128834,0.98411566,0.1211484,0.27851197,0.7523653,0.6428105,0.88591945,0.8325996,0.82929176,0.37965238,0.9601535,0.9513579,0.14526258,0.79036474,0.7747678,0.22961852,0.36486685,13.648985,https://storage.googleapis.com/pretty_cats/image_6.jpg
7,0.5465661,0.6511664,0.335623,0.8266689,0.14534101,0.6871103,0.25259212,0.22771242,0.28794613,0.2891811,0.6457214,0.6793869,0.760784,0.45465186,0.73721284,0.29758358,0.3989785,0.53479,0.6957654,0.7910608,10.245843,https://storage.googleapis.com/pretty_cats/image_7.jpg
8,0.36198848,0.121373385,0.34557834,0.19234017,0.43167308,0.6080219,0.854704,0.44797152,0.2587512,0.38758123,0.13328362,0.38123083,0.59425193,0.1864553,0.3652749,0.24895051,0.47620285,0.056461595,0.5766156,0.82395536,7.852667,https://storage.googleapis.com/pretty_cats/image_8.jpg
9,0.9024856,0.4749327,0.75868,0.8424084,0.54144055,0.7027736,0.84093267,0.5899799,0.89022833,0.85065866,0.66461253,0.71895295,0.5042204,0.62181634,0.9323124,0.53009397,0.526726,0.07639476,0.31181473,0.23593946,12.517404,https://storage.googleapis.com/pretty_cats/image_9.jpg
10,0.8657488,0.46714947,0.72259694,0.6346893,0.66983515,0.42497122,0.43909615,0.34610304,0.6719862,0.37913278,0.86117834,0.75623524,0.7642689,0.49825242,0.92244905,0.4516104,0.76782554,0.8405146,0.8088101,0.5856238,12.878077,https://storage.googleapis.com/pretty_cats/image_10.jpg
